image_id,match_status,predicted_nutrient,predicted_quantity,predicted_unit,predicted_context,gt_nutrient,gt_quantity,gt_unit,gt_context
104.jpeg,TP,Protein,3.29,,per_100g,Protein,,g,per_100g
104.jpeg,TP,Fat,2.69,kcal,per_100g,Fat,,g,per_serving (pro Port. (14g))
104.jpeg,TP,Fibre,1.49,,per_100g,Fibre,,g,per_serving (pro Port. (14g))
104.jpeg,TP,Protein,109,,per_100g,Protein,,g,per_serving (pro Port. (14g))
104.jpeg,TP,Salt,3.29,,per_100g,Salt,,g,per_serving (pro Port. (14g))
105.png,TP,Energy,1320,kj,per_100g,Energy,,kJ,per_100g
105.png,TP,Energy,158,kj,per_100g,Energy,,kJ,per_serving (1 Portion* (12 g))
105.png,TP,Fat,2.79,,per_100g,Fat,,g,per_100g
105.png,TP,Carbohydrate,6.29,,per_100g,Carbohydrate,,g,per_100g
105.png,TP,Fibre,15.59,,per_100g,Fibre,,g,per_100g
105.png,TP,Protein,7.09,,per_100g,Protein,,g,per_100g
105.png,TP,Salt,0.039,,per_100g,Salt,,g,per_100g
105.png,TP,Fat,0.39,,per_100g,Fat,,g,per_serving (1 Portion* (12 g))
105.png,TP,Fibre,0.89,,per_100g,Fibre,,g,per_serving (1 Portion* (12 g))
105.png,TP,Protein,0.00,,per_100g,Protein,,g,per_serving (1 Portion* (12 g))
106.png,TP,Magnesium,250,mg,per_serving,Magnesium,,mg,per_serving (Pro Stick)
106.png,TP,Vitamin E,,,,Vitamin E,,mg α-TE,per_serving (Pro Stick)
107.png,TP,Vitamin B1,1.1,mg,,Vitamin B1,,mg,per_daily_dose (1 Tablette (4.3 g)*)
107.png,TP,Vitamin B2,1.4,mg,,Vitamin B2,,mg,per_daily_dose (1 Tablette (4.3 g)*)
107.png,TP,Niacin,16,mg,,Niacin,,mg NE,per_daily_dose (1 Tablette (4.3 g)*)
107.png,TP,Folic Acid,200,,,Folic Acid,,µg,per_daily_dose (1 Tablette (4.3 g)*)
107.png,TP,Vitamin B6,,,,Vitamin B6,,mg,per_daily_dose (1 Tablette (4.3 g)*)
107.png,TP,Vitamin B12,,,,Vitamin B12,,µg,per_daily_dose (1 Tablette (4.3 g)*)
107.png,TP,Biotin,200,,,Biotin,,µg,per_daily_dose (1 Tablette (4.3 g)*)
107.png,TP,Pantothenic Acid,,,,Pantothenic Acid,,mg,per_daily_dose (1 Tablette (4.3 g)*)
108.jpeg,TP,Vitamin B2,1.4,mg,,Vitamin B2,,mg,per_daily_dose (1 Tablette (5.6 g)*)
108.jpeg,TP,Vitamin B6,1.4,mg,,Vitamin B6,,mg,per_daily_dose (1 Tablette (5.6 g)*)
108.jpeg,TP,Vitamin B1,1.4,mg,,Vitamin B1,,mg,per_daily_dose (1 Tablette (5.6 g)*)
108.jpeg,TP,Pantothenic Acid,60,mg,,Pantothenic Acid,,mg,per_daily_dose (1 Tablette (5.6 g)*)
108.jpeg,TP,Magnesium,14,,,Magnesium,,mg,per_daily_dose (1 Tablette (5.6 g)*)
108.jpeg,TP,Vitamin B12,,,,Vitamin B12,,µg,per_daily_dose (1 Tablette (5.6 g)*)
108.jpeg,TP,Biotin,14,,,Biotin,,µg,per_daily_dose (1 Tablette (5.6 g)*)
108.jpeg,TP,Folic Acid,60,mg,,Folic Acid,,µg,per_daily_dose (1 Tablette (5.6 g)*)
109.jpeg,TP,Fat,0,g,per_100g,Fat,,g,per_100g
109.jpeg,TP,Carbohydrate,12.0,g,per_100g,Carbohydrate,,g,per_100g
109.jpeg,TP,Protein,11.0,g,per_100g,Protein,,g,per_100g
109.jpeg,TP,Salt,0.05,g,per_100g,Salt,,g,per_100g
109.jpeg,TP,Energy,0,g,per_100g,Energy,,kJ,per_100g
109.jpeg,TP,Sugars,989,,per_100g,Sugars,,g,per_100g
109.jpeg,TP,Fibre,159,,per_100g,Fibre,,g,per_100g
110.jpeg,TP,Melissen Extrakt,15,mg,per_serving,Melissen Extrakt,,mg,per_serving (pro Stick)
110.jpeg,TP,Pantothenic Acid,3.0,mg,per_serving,Pantothenic Acid,,mg,per_serving (pro Stick)
110.jpeg,TP,Melissen Extrakt,30,mg,per_serving,Melissen Extrakt,,mg,per_daily_dose (pro 2 Sticks)
110.jpeg,TP,Pantothenic Acid,6.0,mg,per_serving,Pantothenic Acid,,mg,per_daily_dose (pro 2 Sticks)
110.jpeg,TP,Niacin,3.0,mg,per_serving,Niacin,,mg NE,per_serving (pro Stick)
110.jpeg,TP,Niacin,6.0,mg,per_serving,Niacin,,mg NE,per_daily_dose (pro 2 Sticks)
111.jpeg,TP,Vitamin B12,,,tagesdosis (8 ml),Vitamin B12,,µg,per_daily_dose (1 Tagesdosis (8 ml))
112.jpeg,TP,Vitamin B12,,,tagesdosis (8 ml),Vitamin B12,,µg,per_daily_dose (1 Tagesdosis (8 ml))
113.jpeg,TP,Saturated Fats,3.1,g,per_100g,Saturated Fats,,g,per_100g
113.jpeg,TP,Carbohydrate,7.7,g,per_100g,Carbohydrate,,g,per_100g
113.jpeg,TP,Fibre,1.9,g,per_100g,Fibre,,g,per_100g
113.jpeg,TP,Caffeine,267,mg,per_100g,Caffeine,,mg,per_100g
113.jpeg,TP,Fat,1.3,g,per_serving,Fat,,g,per_serving (30 g PULVER IN 250ml WASSER)
113.jpeg,TP,Saturated Fats,0.9,g,per_serving,Saturated Fats,,g,per_serving (30 g PULVER IN 250ml WASSER)
113.jpeg,TP,Carbohydrate,2.3,g,per_serving,Carbohydrate,,g,per_serving (30 g PULVER IN 250ml WASSER)
113.jpeg,TP,Fibre,0.6,g,per_serving,Fibre,,g,per_serving (30 g PULVER IN 250ml WASSER)
113.jpeg,TP,Protein,21.8,g,per_serving,Protein,,g,per_serving (30 g PULVER IN 250ml WASSER)
113.jpeg,TP,Caffeine,80,mg,per_serving,Caffeine,,mg,per_serving (30 g PULVER IN 250ml WASSER)
113.jpeg,TP,Energy,1546,kcal,per_100g,Energy,,kJ,per_100g
113.jpeg,TP,Energy,464,kcal,per_serving,Energy,,kJ,per_serving (30 g PULVER IN 250ml WASSER)
113.jpeg,TP,Protein,1.9,g,per_100g,Protein,,g,per_100g
113.jpeg,TP,Fat,6,kcal,per_100g,Fat,,g,per_100g
114.jpeg,TP,Energy,1541,kj,per_100g,Energy,,kJ,per_100g
114.jpeg,TP,Fat,4.8,g,per_100g,Fat,,g,per_100g
114.jpeg,TP,Saturated Fats,3.3,g,per_100g,Saturated Fats,,g,per_100g
114.jpeg,TP,Carbohydrate,8.8,g,per_100g,Carbohydrate,,g,per_100g
114.jpeg,TP,Fibre,2.8,g,per_100g,Fibre,,g,per_100g
114.jpeg,TP,Protein,70.1,g,per_100g,Protein,,g,per_100g
114.jpeg,TP,Salt,0.51,g,per_100g,Salt,,g,per_100g
114.jpeg,TP,Caffeine,268,mg,per_100g,Caffeine,,mg,per_100g
114.jpeg,TP,Energy,462,kj,per_serving,Energy,,kJ,per_serving (30 g PULVER IN 250ml WASSER)
114.jpeg,TP,Fat,1.4,g,per_serving,Fat,,g,per_serving (30 g PULVER IN 250ml WASSER)
114.jpeg,TP,Saturated Fats,1.0,g,per_serving,Saturated Fats,,g,per_serving (30 g PULVER IN 250ml WASSER)
114.jpeg,TP,Carbohydrate,2.6,g,per_serving,Carbohydrate,,g,per_serving (30 g PULVER IN 250ml WASSER)
114.jpeg,TP,Sugars,1.2,g,per_serving,Sugars,,g,per_serving (30 g PULVER IN 250ml WASSER)
114.jpeg,TP,Fibre,0.9,g,per_serving,Fibre,,g,per_serving (30 g PULVER IN 250ml WASSER)
114.jpeg,TP,Salt,0.17,g,per_serving,Salt,,g,per_serving (30 g PULVER IN 250ml WASSER)
114.jpeg,TP,Caffeine,80,mg,per_serving,Caffeine,,mg,per_serving (30 g PULVER IN 250ml WASSER)
114.jpeg,TP,Sugars,0.9,g,per_serving,Sugars,,g,per_100g
114.jpeg,TP,Protein,140,g,per_100g,Protein,,g,per_serving (30 g PULVER IN 250ml WASSER)
115.png,TP,Energy,103,kcal,per_100g,Energy,,kcal,per_100g
115.png,TP,Fat,0,g,per_100g,Fat,,g,per_100g
115.png,TP,Sugars,10.0,g,per_100g,Sugars,,g,per_100g
115.png,TP,Carbohydrate,10.0,g,per_100g,Carbohydrate,,g,per_100g
115.png,TP,Fibre,11.09,,per_100g,Fibre,,g,per_100g
115.png,TP,Protein,11.09,,per_100g,Protein,,g,per_100g
115.png,TP,Salt,,,per_100g,Salt,,g,per_100g
115.png,TP,Fat,0.29,,per_100g,Saturated Fats,,g,per_100g
116.jpeg,TP,Fat,12.0,g,per_100g,Fat,,g,per_100g
116.jpeg,TP,Carbohydrate,27.0,g,per_100g,Carbohydrate,,g,per_100g
116.jpeg,TP,Sugars,4.6,g,per_100g,Sugars,,g,per_100g
116.jpeg,TP,Fibre,12.0,g,per_100g,Fibre,,g,per_100g
116.jpeg,TP,Protein,41.0,g,per_100g,Protein,,g,per_100g
116.jpeg,TP,Salt,2.02,g,per_100g,Salt,,g,per_100g
116.jpeg,TP,Fat,3.5,g,per_serving,Fat,,g,per_serving (PORTION**)
116.jpeg,TP,Carbohydrate,8.2,g,per_serving,Carbohydrate,,g,per_serving (PORTION**)
116.jpeg,TP,Sugars,1.4,g,per_serving,Sugars,,g,per_serving (PORTION**)
116.jpeg,TP,Fibre,3.7,g,per_serving,Fibre,,g,per_serving (PORTION**)
116.jpeg,TP,Protein,12.0,g,per_serving,Protein,,g,per_serving (PORTION**)
116.jpeg,TP,Salt,0.61,g,per_serving,Salt,,g,per_serving (PORTION**)
116.jpeg,TP,Energy,12.0,g,per_100g,Energy,,kJ,per_100g
116.jpeg,TP,Energy,3.5,g,per_serving,Energy,,kcal,per_100g
117.jpeg,TP,Fat,61,g,per_serving,Fat,,g,per_serving (45 g)
117.jpeg,TP,Saturated Fats,158,,per_serving,Saturated Fats,,g,per_serving (45 g)
117.jpeg,TP,Carbohydrate,1618,,per_serving,Carbohydrate,,g,per_serving (45 g)
117.jpeg,TP,Sugars,13.58,,per_serving,Sugars,,g,per_serving (45 g)
117.jpeg,TP,Fibre,40;,,per_serving,Fibre,,g,per_serving (45 g)
117.jpeg,TP,Protein,11.08,,per_serving,Protein,,g,per_serving (45 g)
117.jpeg,TP,Salt,0.048,,per_serving,Salt,,g,per_serving (45 g)
118.jpeg,TP,Fat,48,g,per_serving,Fat,,g,per_100g
118.jpeg,TP,Protein,0.70,g,per_serving,Protein,,g,per_100g
118.jpeg,TP,Carbohydrate,3.28,,per_serving,Carbohydrate,,g,per_100g
118.jpeg,TP,Fibre,0.568,,per_serving,Fibre,,g,per_100g
118.jpeg,TP,Salt,248,,per_serving,Salt,,g,per_100g
118.jpeg,TP,Fat,388,,per_serving,Fat,,g,per_serving (80 g)
118.jpeg,TP,Carbohydrate,4.08,,per_serving,Carbohydrate,,g,per_serving (80 g)
118.jpeg,TP,Fibre,198,,per_serving,Fibre,,g,per_serving (80 g)
118.jpeg,TP,Protein,0.568,,per_serving,Protein,,g,per_serving (80 g)
118.jpeg,TP,Salt,198,,per_serving,Salt,,g,per_serving (80 g)
118.jpeg,TP,Fat,2.68,,per_serving,Saturated Fats,,g,per_100g
119.jpeg,TP,Carbohydrate,32,g,,Carbohydrate,,g,per_100g
119.jpeg,TP,Fibre,248,,,Fibre,,g,per_100g
119.jpeg,TP,Carbohydrate,406,,,Carbohydrate,,g,per_serving (80 g)
12.png,TP,Energy,328,kj,per_serving,Energy,,kJ,per_serving (60ml)
12.png,TP,Carbohydrate,19,g,per_serving,Carbohydrate,,g,per_serving (60ml)
12.png,TP,Sugars,0.7,g,per_serving,Sugars,,g,per_serving (60ml)
12.png,TP,Protein,0.0,g,per_serving,Protein,,g,per_serving (60ml)
12.png,TP,Salt,0.4,g,per_serving,Salt,,g,per_serving (60ml)
12.png,TP,Energy,547,kj,per 1ooml,Energy,,kJ,per_100ml
12.png,TP,Energy,129,kcal,per 1ooml,Energy,,kcal,per_100ml
12.png,TP,Fat,0.0,g,per 1ooml,Fat,,g,per_100ml
12.png,TP,Sugars,1.1,g,per 1ooml,Sugars,,g,per_100ml
12.png,TP,Salt,0.6,g,per 1ooml,Salt,,g,per_100ml
12.png,TP,Carbohydrate,329,,per 1ooml,Carbohydrate,,g,per_100ml
12.png,TP,Protein,0.19,,per 1ooml,Protein,,g,per_100ml
120.jpeg,TP,Inositol,100,mg,tagesdosis,Inositol,,mg,per_daily_dose (10 G)
120.jpeg,TP,Alpha-Liponsäure,42,mg,tagesdosis,Alpha-Liponsäure,,mg,per_daily_dose (10 G)
120.jpeg,TP,Choline,20,mg,tagesdosis,Choline,,mg,per_daily_dose (10 G)
120.jpeg,TP,Rutin,20,mg,tagesdosis,Rutin,,mg,per_daily_dose (10 G)
120.jpeg,TP,Vitamin C,250,mg,tagesdosis,Vitamin C,,mg,per_daily_dose (10 G)
120.jpeg,TP,Niacin,16,mg,tagesdosis,Niacin,,mg,per_daily_dose (10 G)
120.jpeg,TP,Vitamin E,30,mg,tagesdosis,Vitamin E,,mg,per_daily_dose (10 G)
120.jpeg,TP,Pantothenic Acid,5,mg,tagesdosis,Pantothenic Acid,,mg,per_daily_dose (10 G)
120.jpeg,TP,Vitamin B1,1,mg,tagesdosis,Vitamin B1,,mg,per_daily_dose (10 G)
120.jpeg,TP,Calcium,121,mg,tagesdosis,Calcium,,mg,per_daily_dose (10 G)
120.jpeg,TP,Zinc,6.5,mg,tagesdosis,Zinc,,mg,per_daily_dose (10 G)
120.jpeg,TP,Iodine,100,,tagesdosis,Iodine,,µg,per_daily_dose (10 G)
120.jpeg,TP,Vitamin B6,09,mg,tagesdosis,Vitamin B6,,mg,per_daily_dose (10 G)
120.jpeg,TP,Vitamin B2,11,mg,tagesdosis,Vitamin B2,,mg,per_daily_dose (10 G)
120.jpeg,TP,Bifidobacterium Bifidum,100,mg,tagesdosis,Bifidobacterium Bifidum,,KBE,per_daily_dose (10 G)
120.jpeg,TP,Folic Acid,1,mg,tagesdosis,Folic Acid,,µg,per_daily_dose (10 G)
120.jpeg,TP,Biotin,104,,tagesdosis,Biotin,,µg,per_daily_dose (10 G)
120.jpeg,TP,Vitamin D3,104,,tagesdosis,Vitamin D3,,µg,per_daily_dose (10 G)
120.jpeg,TP,Vitamin K,121,mg,tagesdosis,Vitamin K,,µg,per_daily_dose (10 G)
120.jpeg,TP,Selenium,100,,tagesdosis,Selenium,,µg,per_daily_dose (10 G)
120.jpeg,TP,Copper,90,,tagesdosis,Copper,,mg,per_daily_dose (10 G)
120.jpeg,TP,Manganese,90,,tagesdosis,Manganese,,mg,per_daily_dose (10 G)
120.jpeg,TP,Chromium,90,,tagesdosis,Chromium,,µg,per_daily_dose (10 G)
120.jpeg,TP,Molybdenum,6.5,mg,tagesdosis,Molybdenum,,µg,per_daily_dose (10 G)
120.jpeg,TP,LACTOBACILLUS,20,mg,tagesdosis,Lactobacillus Acidophilus,,KBE,per_daily_dose (10 G)
120.jpeg,TP,Vitamin B1,100,,tagesdosis,Vitamin B12,,µg,per_daily_dose (10 G)
121.jpeg,TP,Fat,12,g,per_100g,Fat,,g,per_100g
121.jpeg,TP,Saturated Fats,6.5,g,per_100g,Saturated Fats,,g,per_100g
121.jpeg,TP,Carbohydrate,20,g,per_100g,Carbohydrate,,g,per_100g
121.jpeg,TP,Sugars,4.9,g,per_100g,Sugars,,g,per_100g
121.jpeg,TP,Sugar Alcohols,15,g,per_100g,Sugar Alcohols,,g,per_100g
121.jpeg,TP,Fibre,18,g,per_100g,Fibre,,g,per_100g
121.jpeg,TP,Protein,35,g,per_100g,Protein,,g,per_100g
121.jpeg,TP,Fat,5.2,g,per_serving,Fat,,g,per_serving (45g)
121.jpeg,TP,Saturated Fats,2.9,g,per_serving,Saturated Fats,,g,per_serving (45g)
121.jpeg,TP,Sugars,2.2,g,per_serving,Sugars,,g,per_serving (45g)
121.jpeg,TP,Sugar Alcohols,6.7,g,per_serving,Sugar Alcohols,,g,per_serving (45g)
121.jpeg,TP,Protein,16,g,per_serving,Protein,,g,per_serving (45g)
121.jpeg,TP,Salt,16,g,per_serving,Salt,,g,per_100g
121.jpeg,TP,Carbohydrate,91,g,per_serving,Carbohydrate,,g,per_serving (45g)
121.jpeg,TP,Fibre,79,g,per_serving,Fibre,,g,per_serving (45g)
121.jpeg,TP,Salt,35,g,per_100g,Salt,,g,per_serving (45g)
121.jpeg,TP,Energy,5.2,g,per_serving,Energy,,kJ,per_100g
121.jpeg,TP,Energy,12,g,per_100g,Energy,,kcal,per_100g
15.png,TP,Saturated Fats,0,,,Saturated Fats,,g,per_100g
15.png,TP,Salt,0,,,Salt,,g,per_100g
15.png,TP,Caffeine,2,,,Caffeine,,mg,per_100g
15.png,TP,Calcium 7428,,,,Calcium,,mg,per_100g
17.png,TP,Vitamin B6,0.22,mg,per_serving,Vitamin B6,,mg,per_serving (piece)
17.png,TP,Caffeine,15,,per_serving,Caffeine,,mg,per_serving (piece)
17.png,TP,Niacin,15,,per_serving,Niacin,,mg NE,per_serving (piece)
17.png,TP,Vitamin B12,15,,per_serving,Vitamin B12,,µg,per_serving (piece)
2.png,TP,Carbohydrate,70,g,per_100g,Carbohydrate,,g,per_100g
2.png,TP,Carbohydrate,50,g,per_daily_dose,Carbohydrate,,g,per_serving (1 Tube (70g))
2.png,TP,Salt,043,g,per_100g,Salt,,g,per_100g
2.png,TP,Salt,030,g,per_daily_dose,Salt,,g,per_serving (1 Tube (70g))
2.png,TP,Saturated Fats,837,,per_daily_dose,Saturated Fats,,g,per_100g
2.png,TP,Saturated Fats,89,,per_100g,Saturated Fats,,g,per_serving (1 Tube (70g))
2.png,TP,Eiweiß ]Protein,0,g,per_100g,Protein,,g,per_100g
2.png,TP,ofwhich sugars,339,,per_100g,Sugars,,g,per_100g
2.png,TP,ofwhich sugars,259,,per_daily_dose,Sugars,,g,per_serving (1 Tube (70g))
20.png,TP,Energy,1474,kj,per_100g,Energy,,kJ,per_100g (100 g Pulver)
20.png,TP,Potassium,667,mg,per_100g,Potassium,,mg,per_100g (100 g Pulver)
20.png,TP,Calcium,800,mg,per_100g,Calcium,,mg,per_100g (100 g Pulver)
20.png,TP,Magnesium,300,mg,per_100g,Magnesium,,mg,per_100g (100 g Pulver)
20.png,TP,Chloride,667,mg,per_100g,Chloride,,mg,per_100g (100 g Pulver)
20.png,TP,Pantothenic Acid,40,mg,per_100g,Pantothenic Acid,,mg,per_100g (100 g Pulver)
20.png,TP,Vitamin B6,13.3,mg,per_100g,Vitamin B6,,mg,per_100g (100 g Pulver)
20.png,TP,Vitamin B12,9.3,mg,per_100g,Vitamin B1,,mg,per_100g (100 g Pulver)
20.png,TP,Chloride,120,mg,per_daily_dose,Chloride,,mg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Caffeine,37.5,mg,per_daily_dose,Caffeine,,mg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Caffeine,800,mg,per_100g,Caffeine,,mg,per_100g (100 g Pulver)
20.png,TP,Potassium,120,mg,per_daily_dose,Potassium,,mg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Calcium,667,mg,per_100g,Calcium,,mg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Magnesium,120,mg,per_daily_dose,Magnesium,,mg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Pantothenic Acid,1.6,mg,per_daily_dose,Pantothenic Acid,,mg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Vitamin B6,40,mg,per_100g,Vitamin B6,,mg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Selenium,800,mg,per_100g,Selenium,,µg,per_100g (100 g Pulver)
20.png,TP,Niacin,800,mg,per_100g,Niacin,,mg NE,per_100g (100 g Pulver)
20.png,TP,Folic Acid,9.3,mg,per_100g,Folic Acid,,µg,per_100g (100 g Pulver)
20.png,TP,Vitamin B12,6.,,per_100g,Vitamin B12,,µg,per_100g (100 g Pulver)
20.png,TP,Biotin,6.,,per_100g,Biotin,,µg,per_100g (100 g Pulver)
20.png,TP,Vitamin A,250,mg,per_100g,Vitamin A,,µg RE,per_100g (100 g Pulver)
20.png,TP,Selenium,37.5,mg,per_daily_dose,Selenium,,µg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Niacin,10,mg,per_daily_dose,Niacin,,mg NE,per_daily_dose (1 Portion = 15 g)
20.png,TP,Vitamin B1,13.3,mg,per_100g,Vitamin B1,,µg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Folic Acid,1,,per_daily_dose,Folic Acid,,µg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Vitamin B12,7,,per_100g,Vitamin B12,,µg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Biotin,7,,per_100g,Biotin,,µg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Vitamin A,800,mg,per_100g,Vitamin A,,µg RE,per_daily_dose (1 Portion = 15 g)
20.png,TP,Natrium{Sodium,667,mg,per_100g,Sodium,,mg,per_100g (100 g Pulver)
20.png,TP,Phosphor Phosphorus,800,mg,per_100g,Phosphorus,,mg,per_100g (100 g Pulver)
20.png,TP,Natrium{Sodium,100,mg,per_daily_dose,Sodium,,mg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Fatt/Fat,78.1,g,per_100g,Fat,,g,per_100g (100 g Pulver)
20.png,TP,Phosphor Phosphorus,667,mg,per_100g,Phosphorus,,mg,per_daily_dose (1 Portion = 15 g)
20.png,TP,Ewebß/Protein,1474,kj,per_100g,Protein,,g,per_100g (100 g Pulver)
20.png,TP,Ewebß/Protein,"<0,19",,per_100g,Protein,,g,per_daily_dose (1 Portion = 15 g)
20.png,TP,Fatt/Fat,"<0,59",,per_100g,Fat,,g,per_daily_dose (1 Portion = 15 g)
201.jpeg,TP,Fat,4.29,,per_100g,Fat,,g,per_100g
201.jpeg,TP,Saturated Fats,679,,per_100g,Saturated Fats,,g,per_100g
201.jpeg,TP,Carbohydrate,8.19,,per_100g,Carbohydrate,,g,per_100g
201.jpeg,TP,Fat,1.39,,por 30,Fat,,g,per_serving (30 g (1 Scoop))
201.jpeg,TP,Saturated Fats,29,,por 30,Saturated Fats,,g,per_serving (30 g (1 Scoop))
201.jpeg,TP,Carbohydrate,249,,por 30,Carbohydrate,,g,per_serving (30 g (1 Scoop))
201.jpeg,TP,waarvan suikers] of which sugars] davon Zucker/ dont sucres/ w tym cukryl z toho,7.79,,per_100g,Sugars,,g,per_100g
201.jpeg,TP,Prpteinas] Proteinas,779,,per_100g,Protein,,g,per_100g
201.jpeg,TP,waarvan suikers] of which sugars] davon Zucker/ dont sucres/ w tym cukryl z toho,2.39,,por 30,Sugars,,g,per_serving (30 g (1 Scoop))
26.png,TP,Fat,0,g,,Fat,,g,per_100g
26.png,TP,Protein,3.5,g,,Protein,,g,per_100g
26.png,TP,Saturated Fats,56,g,,Saturated Fats,,g,per_100g
26.png,TP,Carbohydrate,7,g,,Carbohydrate,,g,per_100g
26.png,TP,Sugars,3.5,g,,Sugars,,g,per_100g
26.png,TP,Energy,2,,,Energy,,kJ,per_100g
26.png,TP,Salt,,,,Salt,,g,per_100g
27.png,TP,Calcium,4000,mg,per_100g,Calcium,,mg,per_100g (100 g Pulver)
27.png,TP,Magnesium,2000,mg,per_100g,Magnesium,,mg,per_100g (100 g Pulver)
27.png,TP,Zinc,75,mg,per_100g,Zinc,,mg,per_100g (100 g Pulver)
27.png,TP,Selenium,,,per_100g,Selenium,,µg,per_100g (100 g Pulver)
27.png,TP,Brewswert/Energy,1254,kj,per_100g,Energy,,kJ,per_100g (100 g Pulver)
27.png,TP,Kublephydrate/ Carbohydrate,49,g,per_100g,Carbohydrate,,g,per_100g (100 g Pulver)
27.png,TP,Mangen/Manganese,15,mg,per_100g,Manganese,,mg,per_100g (100 g Pulver)
