image_id,nutrient,gold_value,detected,below,above,category,cause
119.jpeg,fibre,4.5,1,0,0,C_detected_unmatched,gate_quantity_above
119.jpeg,protein,24.0,1,0,0,C_detected_unmatched,gate_quantity_above
119.jpeg,energy,1177.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
119.jpeg,energy,282.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
119.jpeg,fat,8.4,1,0,0,C_detected_unmatched,gate_quantity_above
119.jpeg,carbohydrate,38.0,1,0,0,C_detected_unmatched,gate_quantity_above
119.jpeg,sugars,3.2,1,0,0,C_detected_unmatched,nutrient_mislabelled
119.jpeg,sugaralcohols,17.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
119.jpeg,fibre,3.6,1,0,0,C_detected_unmatched,gate_quantity_above
119.jpeg,protein,19.0,1,0,0,C_detected_unmatched,gate_quantity_above
119.jpeg,salt,0.56,1,0,0,C_detected_unmatched,gate_quantity_above
12.png,saturatedfats,0.0,1,0,0,C_detected_unmatched,nutrient_not_detected
12.png,sugars,1.1,1,0,0,C_detected_unmatched,gate_quantity_above
12.png,salt,0.6,1,0,0,C_detected_unmatched,nutrient_not_detected
12.png,saturatedfats,0.0,1,0,0,C_detected_unmatched,nutrient_not_detected
12.png,sugars,0.7,1,0,0,C_detected_unmatched,gate_quantity_above
12.png,salt,0.4,1,0,0,C_detected_unmatched,nutrient_not_detected
120.jpeg,copper,1.0,1,0,0,C_detected_unmatched,gate_quantity_above
120.jpeg,manganese,0.4,1,0,0,C_detected_unmatched,gate_quantity_above
120.jpeg,chromium,25.0,1,0,0,C_detected_unmatched,gate_quantity_above
120.jpeg,molybdenum,45.0,1,0,0,C_detected_unmatched,gate_quantity_above
121.jpeg,sugaralcohols,15.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
121.jpeg,sugars,2.2,1,0,0,C_detected_unmatched,nutrient_mislabelled
121.jpeg,sugaralcohols,6.7,1,0,0,C_detected_unmatched,nutrient_mislabelled
20.png,vitaminb2,10.7,1,0,0,C_detected_unmatched,nutrient_not_detected
20.png,carbohydrate,11.7,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,fat,0.1,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,potassium,100.0,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,magnesium,45.0,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,phosphorus,120.0,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,selenium,33.0,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,vitaminc,37.5,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,niacin,16.0,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,vitamine,10.0,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,pantothenicacid,6.0,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,vitaminb2,1.6,1,0,0,C_detected_unmatched,nutrient_not_detected
20.png,folicacid,200.0,1,0,0,C_detected_unmatched,gate_quantity_above
20.png,biotin,153.0,1,0,0,C_detected_unmatched,gate_quantity_above
201.jpeg,saturatedfats,4.2,1,0,0,C_detected_unmatched,nutrient_not_detected
201.jpeg,carbohydrate,8.1,1,0,0,C_detected_unmatched,nutrient_not_detected
201.jpeg,fat,2.0,1,0,0,C_detected_unmatched,nutrient_not_detected
201.jpeg,saturatedfats,1.3,1,0,0,C_detected_unmatched,nutrient_not_detected
201.jpeg,sugars,2.3,1,0,0,C_detected_unmatched,nutrient_mislabelled
26.png,carbohydrate,56.0,1,0,0,C_detected_unmatched,gate_quantity_above
26.png,sugars,7.0,1,0,0,C_detected_unmatched,gate_quantity_above
26.png,protein,3.5,1,0,0,C_detected_unmatched,gate_quantity_above
26.png,salt,0.11,1,0,0,C_detected_unmatched,gate_quantity_above
33.png,sugars,56.0,1,0,0,C_detected_unmatched,gate_quantity_above
33.png,sugars,42.0,1,0,0,C_detected_unmatched,gate_quantity_above
51.png,saturatedfats,0.5,1,0,0,C_detected_unmatched,nutrient_not_detected
51.png,salt,0.13,1,0,0,C_detected_unmatched,nutrient_mislabelled
51.png,saturatedfats,0.5,1,0,0,C_detected_unmatched,nutrient_not_detected
51.png,salt,0.08,1,0,0,C_detected_unmatched,nutrient_mislabelled
51.png,vitaminb6,0.21,1,0,0,C_detected_unmatched,nutrient_not_detected
53.png,saturatedfats,0.5,1,0,0,C_detected_unmatched,nutrient_not_detected
53.png,salt,0.13,1,0,0,C_detected_unmatched,nutrient_mislabelled
53.png,saturatedfats,0.5,1,0,0,C_detected_unmatched,nutrient_not_detected
53.png,salt,0.08,1,0,0,C_detected_unmatched,nutrient_mislabelled
56.jpeg,energy,1604.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
56.jpeg,carbohydrate,3.67,1,0,0,C_detected_unmatched,nutrient_not_detected
56.jpeg,energy,96.2,1,0,0,C_detected_unmatched,nutrient_mislabelled
57.jpeg,energy,383.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
57.jpeg,energy,1604.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
57.jpeg,carbohydrate,3.67,1,0,0,C_detected_unmatched,nutrient_not_detected
57.jpeg,energy,23.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
57.jpeg,energy,96.2,1,0,0,C_detected_unmatched,nutrient_mislabelled
59.png,fructose,12.7,1,0,0,C_detected_unmatched,nutrient_mislabelled
68.jpeg,energy,1578.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
68.jpeg,lmethionine,2.0,1,0,0,C_detected_unmatched,nutrient_not_detected
88.png,sugars,3.5,1,0,0,C_detected_unmatched,nutrient_mislabelled
88.png,sugars,11.0,1,0,0,C_detected_unmatched,nutrient_mislabelled
91.png,sugars,11.0,1,0,0,C_detected_unmatched,gate_quantity_above
91.png,protein,26.0,1,0,0,C_detected_unmatched,gate_quantity_above
