image_id,nutrient,quantity,unit,context,nrv_percent,serving_size
120.jpeg,Calcium,65,mg,,,36x109 KBE
120.jpeg,ZINK,68,mg,,,36x109 KBE
120.jpeg,ZINK,40,mg,,,36x109 KBE
120.jpeg,JOD,40,,,,36x109 KBE
120.jpeg,JOD,100,,,,36x109 KBE
120.jpeg,SELEN,20,,,,36x109 KBE
120.jpeg,SELEN,100,,,,36x109 KBE
120.jpeg,KUPFER,63,,,,36x109 KBE
120.jpeg,MANGAN,90,,,,36x109 KBE
120.jpeg,CHROM,,,,,36x109 KBE
120.jpeg,MOLYBDÄN,,,,,36x109 KBE
121.jpeg,Energie KJIKCAL,,,,,
121.jpeg,Fett,12,g,,,
121.jpeg,Fett,5.2,g,,,
121.jpeg,DAVON GESÄTTIGTE Fettsäuren,12,g,,,
121.jpeg,DAVON GESÄTTIGTE Fettsäuren,6.5,g,,,
121.jpeg,Kohlenhydrate,20,g,,,
121.jpeg,Kohlenhydrate,91,g,,,
121.jpeg,DAVON ZUCKER,20,g,,,
121.jpeg,DAVON ZUCKER,91,g,,,
121.jpeg,Ballaststoffe,79,g,,,
121.jpeg,Ballaststoffe,18,g,,,
121.jpeg,Eiweiß,16,g,,,
121.jpeg,Eiweiß,35,g,,,
121.jpeg,SALZ,16,g,,,
121.jpeg,SALZ,0.20,g,,,
121.jpeg,MIND 30% WENIGER KOHLENHYDRATEALS HERKÖMMLICHE,,,PRO PORTION (45g,,
121.jpeg,PROTEIN-RIEGEL OHNEBALLASTSTOFFANREICHERUNG,,,PRO PORTION (45g,,
201.jpeg,waarvan verzadigde vetzuren/ of which saturates) davon gesättigte Fettsäuren,29,kj,,,
201.jpeg,waarvan verzadigde vetzuren/ of which saturates) davon gesättigte Fettsäuren,679,,,,
201.jpeg,Koolhvdraten/ Carbohydrate] Kohlenhydratel Glucides/ Weglowodany/ Sacharidy,249,,,,
201.jpeg,Koolhvdraten/ Carbohydrate] Kohlenhydratel Glucides/ Weglowodany/ Sacharidy,8.19,,,,
201.jpeg,waarvan suikers] of which sugars] davon Zucker/ dont sucres/ w tym cukryl z toho,7.79,,,,
201.jpeg,waarvan suikers] of which sugars] davon Zucker/ dont sucres/ w tym cukryl z toho,2.39,,,,
201.jpeg,Prpteinas] Proteinas,779,,,,
